2026-05-17 16:14:25.537 | INFO     | pipeline.core:run_pipeline:37 - [323fbfd2] >>> 激活 Formalization Agent 局部微观工作总线，日志资产已物理落盘 <<<
2026-05-17 16:14:25.538 | INFO     | pipeline.core:run_pipeline:55 - 🔄 PDF 切分未完成，启动 PDF 文本与数学锚点物理提取...
2026-05-17 16:14:25.910 | SUCCESS  | pipeline.pdf_parser:parse_pdf_to_pages:72 - 解析完成，共生成 3 个逻辑锚点
2026-05-17 16:14:25.912 | WARNING  | pipeline.core:run_pipeline:107 - ⚠️ 校验未通过：PDF 总锚点 3 段，已翻译 0 段。正在对剩余 3 段进行断点续传...
2026-05-17 16:15:09.569 | INFO     | pipeline.llm_agent:translate_to_structured_logic:80 - >>> 正在解析模型输出的 JSON 结构...
2026-05-17 16:15:09.570 | INFO     | pipeline.core:run_pipeline:150 - >>> 成功翻译并落盘第 1/3 段段落  
2026-05-17 16:16:02.852 | INFO     | pipeline.core:run_pipeline:37 - [323fbfd2] >>> 激活 Formalization Agent 局部微观工作总线，日志资产已物理落盘 <<<
2026-05-17 16:16:02.853 | SUCCESS  | pipeline.core:run_pipeline:53 - ℹ️ PDF 切分完成，安全跳过物理提取步骤。
2026-05-17 16:16:02.857 | WARNING  | pipeline.core:run_pipeline:107 - ⚠️ 校验未通过：PDF 总锚点 3 段，已翻译 1 段。正在对剩余 2 段进行断点续传...
2026-05-17 16:16:38.417 | INFO     | pipeline.llm_agent:translate_to_structured_logic:80 - >>> 正在解析模型输出的 JSON 结构...
2026-05-17 16:16:38.422 | INFO     | pipeline.core:run_pipeline:150 - >>> 成功翻译并落盘第 2/3 段段落  
2026-05-17 16:17:36.233 | INFO     | pipeline.llm_agent:translate_to_structured_logic:80 - >>> 正在解析模型输出的 JSON 结构...
2026-05-17 16:17:36.234 | INFO     | pipeline.core:run_pipeline:150 - >>> 成功翻译并落盘第 3/3 段段落  
2026-05-17 16:17:36.238 | INFO     | pipeline.compiler:compile_with_auto_healing:11 - 第 0 次编译尝试...
2026-05-17 16:17:39.593 | WARNING  | pipeline.compiler:compile_with_auto_healing:30 - 编译失败，正在准备自愈数据...
2026-05-17 16:18:11.602 | INFO     | pipeline.compiler:compile_with_auto_healing:11 - 第 1 次编译尝试...
2026-05-17 16:18:15.284 | SUCCESS  | pipeline.compiler:compile_with_auto_healing:26 - 第 1 次编译成功！
2026-05-17 16:18:15.286 | INFO     | pipeline.core:run_pipeline:233 - >>> 成功为项目 323fbfd2 导出图谱文件: E:\yd\project\math-learn\artifacts\projects\323fbfd2\intermediate\formalization.json
2026-05-17 16:18:15.287 | INFO     | pipeline.llm_agent:extract_main_theorem_manifest:340 - >>> 启动全局主定理（Main Theorem）高阶语义提炼算子...
2026-05-17 16:18:36.855 | SUCCESS  | pipeline.core:run_pipeline:249 - 🏆 【主定理发现成功】核心成果清单已成功落盘固化: E:\yd\project\math-learn\artifacts\projects\323fbfd2\intermediate\core_theorem_manifest.json
